Frequency (Hz) - Plot 0,dBV - Plot 0
12500,-121.606
12531,-123.565
12562,-136.759
12594,-132.103
12625,-141.744
12656,-136.433
12688,-130.55
12719,-120.074
12750,-119.296
12781,-135.808
12812,-132.29
12844,-121.301
12875,-117.86
12906,-124.271
12938,-118.519
12969,-116.119
13000,-118.042
13031,-120.964
13062,-122.605
13094,-128.205
13125,-118.942
13156,-123.482
13188,-123.071
13219,-123.117
13250,-126.404
13281,-124.56
13312,-138.77
13344,-129.719
13375,-129.795
13406,-122.705
13438,-138.081
13469,-125.292
13500,-117.065
13531,-113.993
13562,-121.131
13594,-141.693
13625,-124.635
13656,-120.238
13688,-127.038
13719,-119.409
13750,-116.765
13781,-117.215
13812,-122.977
13844,-122.778
13875,-119.382
13906,-118.235
13938,-122.004
13969,-125.423
14000,-137.664
14031,-118.043
14062,-115.48
14094,-119.845
14125,-121.069
14156,-132.413
14188,-126.954
14219,-119.714
14250,-112.103
14281,-111.457
14312,-116.125
14344,-116.221
14375,-118.748
14406,-117.81
14438,-115.624
14469,-116.592
14500,-140.891
14531,-121.394
14562,-122.919
14594,-120.529
14625,-117.048
14656,-115.628
14688,-123.671
14719,-123.017
14750,-126.679
14781,-131.809
14812,-125.071
14844,-126.283
14875,-128.764
14906,-127.815
14938,-128.516
14969,-119.219
15000,-116.364
15031,-114.068
15062,-113.283
15094,-119.367
15125,-132.388
15156,-126.418
15188,-124.935
15219,-141.97
15250,-132.086
15281,-127.638
15312,-123.477
15344,-123.481
15375,-131.133
15406,-117.623
15438,-116.377
15469,-122.745
15500,-125.322
15531,-116.504
15562,-118.107
15594,-129.194
15625,-123.984
15656,-119.859
15688,-129.326
15719,-125.27
15750,-112.432
15781,-112.562
15812,-124.316
15844,-124.578
15875,-129.128
15906,-126.328
15938,-117.852
15969,-118.83
16000,-125.555
16031,-128.668
16062,-120.657
16094,-125.334
16125,-121.438
16156,-119.441
16188,-129.926
16219,-120.34
16250,-115.955
16281,-118.962
16312,-125.209
16344,-125.28
16375,-131.365
16406,-137.283
16438,-136.712
16469,-130.37
16500,-127.903
16531,-125.606
16562,-121.577
16594,-130.169
16625,-118.465
16656,-121.454
16688,-125.677
16719,-123.579
16750,-122.951
16781,-114.354
16812,-113.913
16844,-120.761
16875,-134.607
16906,-118.832
16938,-120.575
16969,-128.233
17000,-121.735
17031,-121.999
17062,-118.274
17094,-121.598
17125,-131.675
17156,-121.297
17188,-122.041
17219,-129.27
17250,-127.076
17281,-129.225
17312,-125.682
17344,-120.145
17375,-118.589
17406,-120.247
17438,-116.464
17469,-116.969
17500,-128.167
17531,-117.641
17562,-120.556
17594,-121.695
17625,-117.779
17656,-116.463
17688,-117.063
17719,-117.137
17750,-116.896
17781,-128.051
17812,-120.161
17844,-119.501
17875,-119.438
17906,-119.835
17938,-121.849
17969,-121.914
18000,-125.011
18031,-127.87
18062,-127.586
18094,-128.924
18125,-122.944
18156,-117.045
18188,-115.133
18219,-125.986
18250,-117.844
18281,-119.573
18312,-117.695
18344,-125.335
18375,-119.83
18406,-119.658
18438,-120.69
18469,-127.662
18500,-124.477
18531,-123.598
18562,-124.531
18594,-124.941
18625,-116.909
18656,-118.067
18688,-123.306
18719,-121.239
18750,-117.333
18781,-128.9
18812,-145.697
18844,-120.917
18875,-118.795
18906,-129.243
18938,-119.335
18969,-116.549
19000,-123.464
19031,-131.475
19062,-132.394
19094,-146.592
19125,-132.415
19156,-121.517
19188,-124.058
19219,-120.532
19250,-115.08
19281,-119.953
19312,-119.863
19344,-118.327
19375,-119.511
19406,-118.441
19438,-125.841
19469,-126.064
19500,-123.132
19531,-131.574
19562,-123.83
19594,-118.555
19625,-117.718
19656,-120.122
19688,-129.666
19719,-116.623
19750,-118.357
19781,-121.31
19812,-117.127
19844,-115.376
19875,-117.59
19906,-118.472
19938,-118.854
19969,-129.501
20000,-125.817
20031,-122.273
20062,-119.683
20094,-121.015
20125,-120.873
20156,-120.29
20188,-118.026
20219,-116.96
20250,-115.393
20281,-115.532
20312,-127.584
20344,-139.172
20375,-121.254
20406,-133.158
20438,-124.054
20469,-117.626
20500,-115.414
20531,-118.017
20562,-115.544
20594,-113.534
20625,-116.057
20656,-119.116
20688,-125.43
20719,-129.079
20750,-122.944
20781,-125.588
20812,-115.995
20844,-123.077
20875,-120.704
20906,-135.824
20938,-121.895
20969,-124.824
21000,-121.042
21031,-122.968
21062,-141.767
21094,-119.409
21125,-123.282
21156,-131.63
21188,-127.289
21219,-135.512
21250,-122.237
21281,-122.491
21312,-119.991
21344,-122.619
21375,-121.626
21406,-121.198
21438,-123.74
21469,-121.314
21500,-118.881
21531,-128.182
21562,-124.691
21594,-119.844
21625,-119.822
21656,-121.155
21688,-120.583
21719,-112.743
21750,-109.47
21781,-115.923
21812,-126.319
21844,-120.41
21875,-120.821
21906,-116.49
21938,-117.531
21969,-127.196
22000,-126.937
22031,-130.368
22062,-114.819
22094,-116.517
22125,-121.73
22156,-129.728
22188,-118.092
22219,-121.464
22250,-123.015
22281,-132.028
22312,-129.133
22344,-119.57
22375,-120.261
22406,-122.422
22438,-123.032
22469,-129.898
22500,-137.143
22531,-123.594
22562,-133.292
22594,-120.8
22625,-121.331
22656,-127.134
22688,-127.521
22719,-120.561
22750,-122.835
22781,-126.709
22812,-119.347
22844,-122.644
22875,-128.737
22906,-133.094
22938,-122.017
22969,-120.057
23000,-123.429
23031,-123.149
23062,-119.602
23094,-116.854
23125,-120.082
23156,-121.709
23188,-124.219
23219,-122.517
23250,-115.142
23281,-117.18
23312,-122.066
23344,-116.728
23375,-112.611
23406,-112.597
23438,-117.244
23469,-136.026
23500,-119.114
23531,-117.531
23562,-119.587
23594,-121.865
23625,-120.616
23656,-123.19
23688,-122.114
23719,-132.921
23750,-130.141
23781,-125.447
23812,-125.315
23844,-118.691
23875,-118.759
23906,-122.155
23938,-117.905
23969,-122.285
24000,-117.13
24031,-125.721
24062,-129.3
24094,-119.848
24125,-113.969
24156,-116.783
24188,-122.476
24219,-127.156
24250,-122.577
24281,-132.434
24312,-128.363
24344,-124.299
24375,-132.705
24406,-123.901
24438,-130.953
24469,-120.397
24500,-120.255
24531,-130.63
24562,-130.011
24594,-123.326
24625,-125.13
24656,-117.814
24688,-120.474
24719,-121.935
24750,-116.554
24781,-121.547
24812,-119.946
24844,-117.149
24875,-119.228
24906,-117.31
24938,-119.297
24969,-121.755
25000,-123.918
25031,-126.496
25062,-127.527
25094,-121.889
25125,-117.543
25156,-126.246
25188,-123.511
25219,-124.794
25250,-118.626
25281,-122.514
25312,-129.18
25344,-118.546
25375,-114.755
25406,-116.551
25438,-121.829
25469,-131.378
25500,-120.028
25531,-121.404
25562,-125.7
25594,-125.808
25625,-130.32
25656,-126.242
25688,-115.879
25719,-117.16
25750,-118.555
25781,-118.847
25812,-121.671
25844,-122.124
25875,-120.655
25906,-118.963
25938,-129.471
25969,-117.513
26000,-115.897
26031,-122.31
26062,-118.52
26094,-115.645
26125,-120.271
26156,-125.017
26188,-129.202
26219,-124.297
26250,-115.931
26281,-117.229
26312,-124.288
26344,-119.406
26375,-116.528
26406,-115.552
26438,-123.514
26469,-124.576
26500,-121.642
26531,-123.485
26562,-120.726
26594,-114.101
26625,-114.877
26656,-117.18
26688,-120.171
26719,-123.804
26750,-127.113
26781,-123.585
26812,-130.728
26844,-122.097
26875,-123.318
26906,-127.516
26938,-132.674
26969,-133.138
27000,-131.764
27031,-122.374
27062,-115.006
27094,-115.194
27125,-122.692
27156,-124.403
27188,-125.007
27219,-117.826
27250,-118.175
27281,-118.736
27312,-116.964
27344,-115.35
27375,-115.698
27406,-119.742
27438,-133.937
27469,-124.493
27500,-120.65
27531,-117.785
27562,-124.771
27594,-123.91
27625,-121.645
27656,-126.753
27688,-131.994
27719,-125.598
27750,-121.627
27781,-123.911
27812,-124.085
27844,-121.744
27875,-116.188
27906,-117.192
27938,-126.526
27969,-118.224
28000,-119.432
28031,-128.483
28062,-135.924
28094,-123.098
28125,-123.248
28156,-127.064
28188,-120.035
28219,-118.414
28250,-121.933
28281,-121.789
28312,-119.16
28344,-120.478
28375,-122.046
28406,-121.774
28438,-121.439
28469,-120.234
28500,-121.982
28531,-119.7
28562,-118.654
28594,-121.577
28625,-133.038
28656,-118.843
28688,-117.277
28719,-116.116
28750,-114.82
28781,-113.541
28812,-113.227
28844,-119.599
28875,-127.178
28906,-124.687
28938,-122.142
28969,-118.806
29000,-121.256
29031,-132.03
29062,-126.766
29094,-119.009
29125,-122.937
29156,-126.387
29188,-125.112
29219,-119.968
29250,-115.807
29281,-116.611
29312,-126.958
29344,-123.452
29375,-122.946
29406,-120.129
29438,-121.314
29469,-124.802
29500,-128.244
29531,-123.967
29562,-120.297
29594,-119.297
29625,-117.298
29656,-118.828
29688,-124.658
29719,-117.997
29750,-115.993
29781,-124.184
29812,-121.011
29844,-118.085
29875,-122.711
29906,-127.164
29938,-119.402
29969,-119.43
30000,-128.468
